0x0000a5	¥	Y=
0x0000a7	§	SS
0x0000ab	«	<<
0x0000b1	±	+-
0x0000bb	»	>>
0x0000bc	¼	1/4
0x0000bd	½	1/2
0x0000be	¾	3/4
0x0000c6	Æ	AE
0x0000e6	æ	ae
0x000132	Ĳ	IJ
0x000133	ĳ	ij
0x000195	ƕ	hv	hi	hu
0x0001a2	Ƣ	OI
0x0001a3	ƣ	oi	oj
0x0001a5	ƥ	fp	rp
0x0001a6	Ʀ	IR
0x0001c1	ǁ	||
0x0001c2	ǂ	|=
0x0001f1	Ǳ	DZ
0x0001f2	ǲ	Dz
0x0001f3	ǳ	dz
0x0001c7	Ǉ	LJ
0x0001c8	ǈ	Lj
0x0001c9	ǉ	lj
0x0001ca	Ǌ	NJ
0x0001cb	ǋ	Nj
0x0001cc	ǌ	nj
0x0001f6	Ƕ	Hv	Hi	Hu
0x000238	ȸ	db
0x000239	ȹ	qp
0x00026e	ɮ	l3
0x000271	ɱ	mj
0x0002a4	ʤ	d3
0x0002a7	ʧ	tf	tS
0x0002a8	ʨ	tc
0x0002a9	ʩ	fn	frj
0x0002aa	ʪ	ls
0x0002ab	ʫ	lz
0x0002ac	ʬ	ww
0x0002ad	ʭ	nn
0x0002f5	˵	``
0x001efa	Ỻ	LL
0x001efb	ỻ	ll	tt
0x002100	℀	a/c
0x002101	℁	a/s
0x002103	℃	°C	oC
0x002104	℄	cL
0x002105	℅	c/o
0x002106	℆	c/u
0x002109	℉	°F	oF
0x002114	℔	lb
0x002116	№	No
0x00211e	℞	Rx	Px
0x002120	℠	SM
0x002121	℡	TEL
0x002125	℥	z3
0x00212d	ℭ	Cs
0x00213b	℻	FAX
0x002150	⅐	1/7
0x002151	⅑	1/9
0x002152	⅒	1/10
0x002153	⅓	1/3 
0x002154	⅔	2/3 
0x002155	⅕	1/5 
0x002156	⅖	2/5 
0x002157	⅗	3/5 
0x002158	⅘	4/5 
0x002159	⅙	1/6 
0x00215a	⅚	5/6 
0x00215b	⅛	1/8 
0x00215c	⅜	3/8 
0x00215d	⅝	5/8 
0x00215e	⅞	7/8 
0x00215f	⅟	1/
0x002161	Ⅱ	II
0x002162	Ⅲ	III
